ing_id,ing_name,ing_weight,ing_meas,ing_price,inv_id,quantity
ING001,"Espresso beans",1000,grams,12.00,inv001,4
ING002,"Whole Milk",1000,ml,1.20,inv002,55
ING003,Cheddar,500,grams,7.45,inv003,1
ING004,Mozzarella,500,grams,5.00,inv004,4
ING005,"Whipped cream",300,ml,1.35,inv005,7
ING006,"Vanilla syrup",1000,ml,14.52,inv006,3
ING007,"Barista chocolate syrup",1000,ml,8.49,inv007,3
ING008,"Barista white chocolate syrup",1000,ml,8.49,inv008,4
ING009,"Barista caramel sauce",1000,ml,8.49,inv009,1
ING010,Sugar,1000,grams,1.50,inv010,4
ING011,"Panini Bread",4,units,1.35,inv011,20
ING012,"Cocoa powder",1000,grams,22.00,inv012,5
ING013,Chocolate,1000,grams,10.50,inv013,2
ING014,Lemons,5,units,1.50,inv014,10
ING015,Ham,1000,grams,27.50,inv015,3
ING016,Salami,1000,grams,15.49,inv016,2
ING017,"Black Tea",1000,grams,16.00,inv017,2
ING018,"Vanilla extract",60,ml,9.99,inv018,2
