row_id,order_id,created_at,item_id,quantity,cust_name,in_or_out,recipe_id,item_name,item_cat,item_size,item_price
1,ORD001,"2024-02-12 07:04:19",It008,1,Alex,out,HDR-ESP,Espresso,"Hot Drinks",N/A,2.15
2,ORD002,"2024-02-12 07:09:38",It014,1,Jordan,in,HDR-HCH-LG,"Hot Chocolate","Hot Drinks",Large,4.60
3,ORD003,"2024-02-12 07:14:29",It008,1,Taylor,out,HDR-ESP,Espresso,"Hot Drinks",N/A,2.15
4,ORD004,"2024-02-12 07:18:39",It019,1,Casey,out,CDR-ICT-MD,"Iced Tea","Cold Drinks",Medium,3.25
5,ORD005,"2024-02-12 07:23:44",It024,1,Jamie,out,SNK-SSM,"Sandwich Salami&Mozzarella",Snacks,N/A,5.50
6,ORD006,"2024-02-12 07:28:20",It001,1,Morgan,in,HDR-CAP-MD,Cappuccino,"Hot Drinks",Medium,3.45
7,ORD006,"2024-02-12 07:28:20",It016,1,Morgan,in,CDR-CCF-LG,"Cold Coffee","Cold Drinks",Large,3.75
8,ORD007,"2024-02-12 07:33:58",It005,1,Riley,out,HDR-FLT,"Flat White","Hot Drinks",N/A,3.15
9,ORD007,"2024-02-12 07:33:58",It020,1,Riley,,CDR-ICT-LG,"Iced Tea","Cold Drinks",Large,3.55
10,ORD008,"2024-02-12 07:39:02",It006,1,Cameron,in,HDR-CRM-MD,"Caramel Macchiato","Hot Drinks",Medium,4.20
11,ORD008,"2024-02-12 07:39:01",It018,1,Cameron,,CDR-CMO-LG,"Cold Mocha","Cold Drinks",Large,4.60
12,ORD009,"2024-02-12 07:44:02",It023,1,Quinn,out,SNK-SHC,"Sandwich Ham&Cheese",Snacks,N/A,5.60
13,ORD009,"2024-02-12 07:44:03",It011,1,Quinn,,HDR-WMO-MD,"White Mocha","Hot Drinks",Medium,4.50
14,ORD010,"2024-02-12 07:49:04",It024,1,Peyton,out,SNK-SSM,"Sandwich Salami&Mozzarella",Snacks,N/A,5.50
15,ORD010,"2024-02-12 07:49:05",It014,1,Peyton,,HDR-HCH-LG,"Hot Chocolate","Hot Drinks",Large,4.60
16,ORD011,"2024-02-12 07:53:06",It003,1,Brooke,out,HDR-LAT-MD,Latte,"Hot Drinks",Medium,3.45
17,ORD012,"2024-02-12 07:58:07",It007,1,Blake,out,HDR-CRM-LG,"Caramel Macchiato","Hot Drinks",Large,4.60
18,ORD013,"2024-02-12 08:03:08",It009,1,Charlie,in,HDR-MOC-MD,Mocha,"Hot Drinks",Medium,4.00
19,ORD013,"2024-02-12 08:03:09",It021,1,Charlie,,CDR-LMN-MD,Lemonade,"Cold Drinks",Medium,3.35
20,ORD014,"2024-02-12 08:08:10",It012,1,Dakota,in,HDR-WMO-LG,"White Mocha","Hot Drinks",Large,4.70
21,ORD014,"2024-02-12 08:08:11",It022,1,Dakota,,CDR-LMN-LG,Lemonade,"Cold Drinks",Large,3.75
22,ORD015,"2024-02-12 08:12:12",It004,1,Emerson,out,HDR-LAT-LG,Latte,"Hot Drinks",Large,3.75
23,ORD016,"2024-02-12 08:17:21",It002,1,Finley,out,HDR-CAP-LG,Cappuccino,"Hot Drinks",Large,3.75
24,ORD017,"2024-02-12 08:22:34",It001,1,Harper,in,HDR-CAP-MD,Cappuccino,"Hot Drinks",Medium,3.45
25,ORD018,"2024-02-12 08:26:07",It014,1,Jordan,out,HDR-HCH-LG,"Hot Chocolate","Hot Drinks",Large,4.60
26,ORD019,"2024-02-12 08:31:45",It011,1,Kendall,in,HDR-WMO-MD,"White Mocha","Hot Drinks",Medium,4.50
27,ORD020,"2024-02-12 08:36:59",It017,1,Logan,out,CDR-CMO-MD,"Cold Mocha","Cold Drinks",Medium,4.00
28,ORD020,"2024-02-12 08:36:59",It020,1,Logan,,CDR-ICT-LG,"Iced Tea","Cold Drinks",Large,3.55
29,ORD021,"2024-02-12 08:41:38",It005,1,Morgan,out,HDR-FLT,"Flat White","Hot Drinks",N/A,3.15
30,ORD022,"2024-02-12 08:45:02",It006,1,Parker,in,HDR-CRM-MD,"Caramel Macchiato","Hot Drinks",Medium,4.20
