row_id,recipe_id,ing_id,quantity,receipe_ing_id,ing_name,ing_weight,ing_meas,ing_price
1,HDR-CAP-MD,ING001,8,HDR-CAP-MD-ING001,"Espresso beans",1000,grams,12.00
2,HDR-CAP-MD,ING002,130,HDR-CAP-MD-ING002,"Whole Milk",1000,ml,1.20
3,HDR-CAP-LG,ING001,10,HDR-CAP-LG-ING001,"Espresso beans",1000,grams,12.00
4,HDR-CAP-LG,ING002,180,HDR-CAP-LG-ING002,"Whole Milk",1000,ml,1.20
5,HDR-LAT-MD,ING001,8,HDR-LAT-MD-ING001,"Espresso beans",1000,grams,12.00
6,HDR-LAT-MD,ING002,130,HDR-LAT-MD-ING002,"Whole Milk",1000,ml,1.20
7,HDR-LAT-LG,ING001,10,HDR-LAT-LG-ING001,"Espresso beans",1000,grams,12.00
8,HDR-LAT-LG,ING002,180,HDR-LAT-LG-ING002,"Whole Milk",1000,ml,1.20
9,HDR-FLT,ING001,8,HDR-FLT-ING001,"Espresso beans",1000,grams,12.00
10,HDR-FLT,ING002,160,HDR-FLT-ING002,"Whole Milk",1000,ml,1.20
11,HDR-CRM-MD,ING001,8,HDR-CRM-MD-ING001,"Espresso beans",1000,grams,12.00
12,HDR-CRM-MD,ING002,120,HDR-CRM-MD-ING002,"Whole Milk",1000,ml,1.20
13,HDR-CRM-MD,ING009,20,HDR-CRM-MD-ING009,"Barista caramel sauce",1000,ml,8.49
14,HDR-CRM-LG,ING001,10,HDR-CRM-LG-ING001,"Espresso beans",1000,grams,12.00
15,HDR-CRM-LG,ING002,160,HDR-CRM-LG-ING002,"Whole Milk",1000,ml,1.20
16,HDR-CRM-LG,ING009,30,HDR-CRM-LG-ING009,"Barista caramel sauce",1000,ml,8.49
17,HDR-ESP,ING001,8,HDR-ESP-ING001,"Espresso beans",1000,grams,12.00
18,HDR-MOC-MD,ING001,8,HDR-MOC-MD-ING001,"Espresso beans",1000,grams,12.00
19,HDR-MOC-MD,ING002,120,HDR-MOC-MD-ING002,"Whole Milk",1000,ml,1.20
20,HDR-MOC-MD,ING007,20,HDR-MOC-MD-ING007,"Barista chocolate syrup",1000,ml,8.49
21,HDR-MOC-LG,ING001,10,HDR-MOC-LG-ING001,"Espresso beans",1000,grams,12.00
22,HDR-MOC-LG,ING002,160,HDR-MOC-LG-ING002,"Whole Milk",1000,ml,1.20
23,HDR-MOC-LG,ING007,30,HDR-MOC-LG-ING007,"Barista chocolate syrup",1000,ml,8.49
24,HDR-WMO-MD,ING001,8,HDR-WMO-MD-ING001,"Espresso beans",1000,grams,12.00
25,HDR-WMO-MD,ING002,120,HDR-WMO-MD-ING002,"Whole Milk",1000,ml,1.20
26,HDR-WMO-MD,ING008,20,HDR-WMO-MD-ING008,"Barista white chocolate syrup",1000,ml,8.49
27,HDR-WMO-LG,ING001,10,HDR-WMO-LG-ING001,"Espresso beans",1000,grams,12.00
28,HDR-WMO-LG,ING002,160,HDR-WMO-LG-ING002,"Whole Milk",1000,ml,1.20
29,HDR-WMO-LG,ING008,30,HDR-WMO-LG-ING008,"Barista white chocolate syrup",1000,ml,8.49
30,HDR-HCH-MD,ING002,130,HDR-HCH-MD-ING002,"Whole Milk",1000,ml,1.20
31,HDR-HCH-MD,ING012,25,HDR-HCH-MD-ING012,"Cocoa powder",1000,grams,22.00
32,HDR-HCH-MD,ING013,20,HDR-HCH-MD-ING013,Chocolate,1000,grams,10.50
33,HDR-HCH-MD,ING005,30,HDR-HCH-MD-ING005,"Whipped cream",300,ml,1.35
34,HDR-HCH-LG,ING002,180,HDR-HCH-LG-ING002,"Whole Milk",1000,ml,1.20
35,HDR-HCH-LG,ING012,35,HDR-HCH-LG-ING012,"Cocoa powder",1000,grams,22.00
36,HDR-HCH-LG,ING013,30,HDR-HCH-LG-ING013,Chocolate,1000,grams,10.50
37,HDR-HCH-LG,ING005,40,HDR-HCH-LG-ING005,"Whipped cream",300,ml,1.35
38,CDR-CCF-MD,ING001,8,CDR-CCF-MD-ING001,"Espresso beans",1000,grams,12.00
39,CDR-CCF-MD,ING002,130,CDR-CCF-MD-ING002,"Whole Milk",1000,ml,1.20
40,CDR-CCF-LG,ING001,10,CDR-CCF-LG-ING001,"Espresso beans",1000,grams,12.00
41,CDR-CCF-LG,ING002,180,CDR-CCF-LG-ING002,"Whole Milk",1000,ml,1.20
42,CDR-CMO-MD,ING001,8,CDR-CMO-MD-ING001,"Espresso beans",1000,grams,12.00
43,CDR-CMO-MD,ING002,120,CDR-CMO-MD-ING002,"Whole Milk",1000,ml,1.20
44,CDR-CMO-MD,ING007,20,CDR-CMO-MD-ING007,"Barista chocolate syrup",1000,ml,8.49
45,CDR-CMO-LG,ING001,10,CDR-CMO-LG-ING001,"Espresso beans",1000,grams,12.00
46,CDR-CMO-LG,ING002,160,CDR-CMO-LG-ING002,"Whole Milk",1000,ml,1.20
47,CDR-CMO-LG,ING007,30,CDR-CMO-LG-ING007,"Barista chocolate syrup",1000,ml,8.49
48,CDR-ICT-MD,ING017,10,CDR-ICT-MD-ING017,"Black Tea",1000,grams,16.00
49,CDR-ICT-MD,ING010,20,CDR-ICT-MD-ING010,Sugar,1000,grams,1.50
50,CDR-ICT-LG,ING016,15,CDR-ICT-LG-ING016,Salami,1000,grams,15.49
51,CDR-ICT-LG,ING010,25,CDR-ICT-LG-ING010,Sugar,1000,grams,1.50
52,CDR-LMN-MD,ING014,1,CDR-LMN-MD-ING014,Lemons,5,units,1.50
